,0,1,2
0,"[ 6684  2257    62    35  1961  9598  1961    62  9936    47  1677 10067
  2837    62 48727    27 28008 14478 17257    29  3712  4906  1043    11
   201   198   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220 14206 14478 17257     5   374   782     8   201   198   220
   220   220   220   220   220   220  1391   201   198   220   220   220
   220   220   220   220   220   220   220   220  1441  2099     7  1043
  6624  5750  3712   437     7    81   782     8  5633  1043  1058  5750
  3712 19545     7  9275   828   201   198   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220  5750  3712   437     7    81
   782     8  5619   201   198   220   220   220   220   220   220   220
  1782   201   198   220   220   220 18083   201   198   201   198   220
   220   220 11055    27  1398 43484  4154   282 17257  1875   201   198
   220   220   220  2878  2837    62  7783    27 43484  4154   282 17257
    11  1441    62  3448   273    62   437  1875   201   198   220   220
   220  1391   201   198   220   220   220   220]","[ 6684  2257    62    35  1961  9598  1961    62  9936    47  1677 10067
  2837    62 48727    27 28008 14478 17257    29  3712  4906  1043    11
   201   198   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220 14206 14478 17257     5   374   782     8   201   198   220
   220   220   220   220   220   220  1391   201   198   220   220   220
   220   220   220   220   220   220   220   220  1441  2099     7  1043
  6624  5750  3712   437     7    81   782     8  5633  1043  1058  5750
  3712 19545     7  9275   828   201   198   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220  5750  3712   437     7    81
   782     8  5619   201   198   220   220   220   220   220   220   220
  1782   201   198   220   220   220 18083   201   198   201   198   220
   220   220 11055    27  4871 14206 14478 17257    11  1398 45755 39156
  5344    29   201   198   220   220   220  2878  2837    62 48727    62
 19738    27 28008 14478 17257    11 45755 39156  5344    11  2081    29
   201   198   220   220   220  1391   201   198]",0
1,"[ 1565  3398   198   197   197   197   197    79    17 19039 10662   628
   197   197   197   197    80   796 26181    13  4677   437    79     7
    80    11   269    13  3605  1676    70     8   198   197   197   197
   197    80    13  1722   796   317 29266   198   197   197   197   197
    80    13  4863    13  6030   796 26181    13 25216    62 10943  2257
   198   197   197   197   197    80    13  4863    13 34519   796   269
    13   310   742    13 13715 19778 10699  3419   198   197   197   197
   197    80    13  8081   796 23337  4303   198   197   197   197   197
    80    13  2514    13  6030   796 26181    13 25216    62 31553   198
   197   197   197   197    80    13  2514    13  8081   796 23337    62
    49    21   628   197   197   197   197    80   796 26181    13  4677
   437    79     7    80    11   269    13  3605  1676    70     8   198
   197   197   197   197    80    13  1722   796  3001  8874    35   198
   197   197   197   197    80    13  4863    13  6030   796 26181    13
 25216    62 31553   198   197   197   197   197    80    13  4863    13
  8081   796 23337    62    49    21   198   197   197   197   197    80
    13  2514    13  6030   796 26181    13 25216]","[ 1565  3398   198   197   197   197   197    79    17 19039 10662   628
   197   197   197   197    80   796 26181    13  4677   437    79     7
    80    11   269    13  3605  1676    70     8   198   197   197   197
   197    80    13  1722   796   317 29266   198   197   197   197   197
    80    13  4863    13  6030   796 26181    13 25216    62 10943  2257
   198   197   197   197   197    80    13  4863    13 34519   796   269
    13   310   742    13 13715 19778 10699  3419   198   197   197   197
   197    80    13  8081   796 23337  4303   198   197   197   197   197
    80    13  2514    13  6030   796 26181    13 25216    62 31553   198
   197   197   197   197    80    13  2514    13  8081   796 23337    62
    49    21   628   197   197   197   197    80   796 26181    13  4677
   437    79     7    80    11   269    13  3605  1676    70     8   198
   197   197   197   197    80    13  1722   796   317 29266   198   197
   197   197   197    80    13  4863    13  6030   796 26181    13 25216
    62 10943  2257   198   197   197   197   197    80    13  4863    13
 34519   796   269    13   310   742    13 13715 19778 10699  3419   198
   197   197   197   197    80    13  8081   796]",0
2,"[  220   220   220   220   220   220   220  2116    13 27729   929   796
  2836    62 15414    13 21037 22446  9688  2032   342  7203    79  4943
   393   407  2836    62 15414   628   220   220   220   825   651    62
  3672     7   944  2599   198   220   220   220   220   220   220   220
  2836    62 15414   796   651    62 15414     7   198   220   220   220
   220   220   220   220   220   220   220   220   374 17912    32    12
    57 48688     3  1600   198   220   220   220   220   220   220   220
   220   220   220   220   366 17469  6491  1438    25  1600   198   220
   220   220   220   220   220   220   220   220   220   220   366  5376
  1276   691  3994  7475  4943   198   220   220   220   220   220   220
   220   611  2836    62 15414  6624   366    34 20940  3698  1298   198
   220   220   220   220   220   220   220   220   220   220   220  1441
   366    34 20940  3698     1   198   220   220   220   220   220   220
   220  2116    13  3672   796  2836    62 15414    58    25  2780    60
   628   220   220   220   825   651    62 21975     7   944  2599   198
   220   220   220   220   220   220   220  2836    62 15414   796   651
    62 15414     7   198   220   220   220   220]","[  220   220   220   220   220   220   220  2116    13 27729   929   796
  2836    62 15414    13 21037 22446  9688  2032   342  7203    79  4943
   393   407  2836    62 15414   628   220   220   220   825   651    62
  3672     7   944  2599   198   220   220   220   220   220   220   220
  2836    62 15414   796   651    62 15414     7   198   220   220   220
   220   220   220   220   220   220   220   220   374 17912    32    12
    57 48688     3  1600   198   220   220   220   220   220   220   220
   220   220   220   220   366 17469  6491  1438    25  1600   198   220
   220   220   220   220   220   220   220   220   220   220   366  5376
  1276   691  3994  7475  4943   198   220   220   220   220   220   220
   220   611  2836    62 15414  6624   366    34 20940  3698  1298   198
   220   220   220   220   220   220   220   220   220   220   220  1441
   366    34 20940  3698     1   198   220   220   220   220   220   220
   220  1288   361  2836    62 15414  6624   366    47 11860  8577  1298
   198   220   220   220   220   220   220   220   220   220   220   220
  1441   366    47 11860  8577     1   198   220   220   220   220   220
   220   220  2073    25   198   220   220   220]",0
3,"[16576 19273    11   257  1310 12922  3371   262   886   290  4814   517
   286   262 35075 35842  1108    13   198   198  3646   388   357 21953
  1667  2049     8   318  6029   290  3297   286   588  4036 22802  2644
 25991   655   262 22802  4168   475   407   881   286   262 12658   414
    11 35075  4710    13   198   198 10374 31927 40058   357  4125   694
   992  7872     8   318  2407  3621    13  9576  6029   475   262 25996
   857   423   517   286   257 22979 32073   284   340    11  2427   286
   262 11666 16858  3465    13   314  1682  1807   314   691   550   530
   286   777  1566   314  6939  1568   326   314   550   257  7684   286
 32191  7872  3392   326  6304   447   247    83 18873 39191   326   547
 25996    13   575   388    13   198   198 40141   357 43745     8   318
  6029   475   351   257  1976  9673  3465  3371   262   886    13   632
 14516   502   517   286   281 10912 27644 16416   621   257 27644 26394
   355   340 19989   326 35842 13197    13   198   198    51  2564   500
   357 43745     8   373  1107  2092   284   262 10912    11   523   881
   523    11   314  2492   447   247    83  1654   484   547  1180  2845
   326   612   547  1811   286   883   290   484]","[16576 19273    11   257  1310 12922  3371   262   886   290  4814   517
   286   262 35075 35842  1108    13   198   198  3646   388   357 21953
  1667  2049     8   318  6029   290  3297   286   588  4036 22802  2644
 25991   655   262 22802  4168   475   407   881   286   262 12658   414
    11 35075  4710    13   198   198 10374 31927 40058   357  4125   694
   992  7872     8   318  2407  3621    13  9576  6029   475   262 25996
   857   423   517   286   257 22979 32073   284   340    11  2427   286
   262 11666 16858  3465    13   314  1682  1807   314   691   550   530
   286   777  1566   314  6939  1568   326   314   550   257  7684   286
 32191  7872  3392   326  6304   447   247    83 18873 39191   326   547
 25996    13   575   388    13   198   198 40141   357 43745     8   318
  6029   475   351   257  1976  9673  3465  3371   262   886    13   632
 14516   502   517   286   281 10912 20584   621   257  1103 10912    13
   198   198    34 13372   357   445     8   318   257  1310 35842   475
   407  1165   881    13   632   447   247    82   257  1310   517   588
   257 23612  2508   621   257 23612    13   198   198    34 13372   357
   445     8   318   257  1310 35842   475   407]",0
4,"[   25 19052  1391   198   220  2695    25 37082    37 23628  8172   198
    92   198    13 13331    12 45364    25 19052  1391   198   220  2695
    25 37082    37 25399  8172   198    92   198    13 13331    12 45364
    12 23415    25 19052  1391   198   220  2695    25 37082    37 22985
  8172   198    92   198    13 13331    12  6511    12  6018    12  2902
    25 19052  1391   198   220  2695    25 37082    37 17430  8172   198
    92   198    13 13331    12  6511    12  6018    12   929    25 19052
  1391   198   220  2695    25 37082    37 24096  8172   198    92   198
    13 13331    12  6511    12  6018    12  9464    25 19052  1391   198
   220  2695    25 37082    37 22413  8172   198    92   198    13 13331
    12  6511    12  6018    12  3506    25 19052  1391   198   220  2695
    25 37082    37 23188  8172   198    92   198    13 13331    12 18040
    25 19052  1391   198   220  2695    25 37082    37 21738  8172   198
    92   198    13 13331    12 28457    25 19052  1391   198   220  2695
    25 37082    37  1558    32  8172   198    92   198    13 13331    12
 19411    25 19052  1391   198   220  2695    25 37082    37  1558    33
  8172   198    92   198    13 13331    12 23289]","[   25 19052  1391   198   220  2695    25 37082    37 23628  8172   198
    92   198    13 13331    12 45364    25 19052  1391   198   220  2695
    25 37082    37 25399  8172   198    92   198    13 13331    12 45364
    12 23415    25 19052  1391   198   220  2695    25 37082    37 22985
  8172   198    92   198    13 13331    12  6511    12  6018    12  2902
    25 19052  1391   198   220  2695    25 37082    37 17430  8172   198
    92   198    13 13331    12  6511    12  6018    12   929    25 19052
  1391   198   220  2695    25 37082    37 24096  8172   198    92   198
    13 13331    12  6511    12  6018    12  9464    25 19052  1391   198
   220  2695    25 37082    37 22413  8172   198    92   198    13 13331
    12  6511    12  6018    12  3506    25 19052  1391   198   220  2695
    25 37082    37 23188  8172   198    92   198    13 13331    12 18040
    25 19052  1391   198   220  2695    25 37082    37 21738  8172   198
    92   198    13 13331    12 28457    25 19052  1391   198   220  2695
    25 37082    37  1558    64  8172   198    92   198    13 13331    12
 19411    25 19052  1391   198   220  2695    25 37082    37  1558    65
  8172   198    92   198    13 13331    12 23289]",0
5,"[13960    11   475  4844   286   262  7647  6041   550   587  1760    11
   290   262  6992  6729   422   262  6483  7042  1402 12269   319  2035
  1735   286   262  2975    13   198   198     1 41102   588   356   821
  1016   284   423   284  2513   287   553 14424   531 12703    13   198
   198     1 15597 43080    13  1119  1394   262  4695   994   614    12
   744   553   314   531 12703    13   366  1870   484  1053  1392   284
   307 11672   790  1110    13   383  3085   481   423  5445   257  8025
   287  7382   526   198   198     1 13710   484  1309   262 27508   467
 14720  1141   262  6388   553 12790  5220    13   366 32351   561 13189
   656   428   329   262 11060   286   511  1414 42116   526   198   198
     1  1639   836   470   466  9151  4867   329   262  1637   553   314
   531    13   366  1870   345  1654   355  5968   836   470  1011   510
  1762   351 36798   290 24635   329   262  5909 37751   290   262  1664
  1097   526   314 14682   616  1182    13   366  2990  1842   606    13
 17877   338  3750   287   790  1110    13  1119  1183   379  1551   423
  5445   257  2366  8025   526   198   198     1  1858   553 14424   531
    11 10609    13 10889  1576    11  2130   550]","[13960    11   475  4844   286   262  7647  6041   550   587  1760    11
   290   262  6992  6729   422   262  6483  7042  1402 12269   319  2035
  1735   286   262  2975    13   198   198     1 41102   588   356   821
  1016   284   423   284  2513   287   553 14424   531 12703    13   198
   198     1 15597 43080    13  1119  1394   262  4695   994   614    12
   744   553   314   531 12703    13   366  1870   484  1053  1392   284
   307 11672   790  1110    13   383  3085   481   423  5445   257  8025
   287  7382   526   198   198     1 13710   484  1309   262 27508   467
 14720  1141   262  6388   553 12790  5220    13   366 32351   561 13189
   656   428   329   262 11060   286   511  1414 42116   526   198   198
     1  1639   836   470   466  9151  4867   329   262  1637   553   314
   531    13   366  1870   345  1654   355  5968   836   470  1011   510
  1762   351 36798   290 24635   329   262  1637   526   198   198     1
    40  1101   407   257 44136   393   257 22206   553 12790   531    13
   366    40  1101   257 11444    13   314  1101   407   257 44136   393
   257 22206   526   198   198     1  1639   821   257 11444   553   314
   531    13   366  1639   821   257 11444    13]",0
6,"[  220   220   220   220   220   220   220   220  1279  7146  1398  2625
 11299  5320   198   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220  1279  7146  1398  2625 28665    16  5320   198   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220  7359  7146    29
   198   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
  1279  7146  1398  2625 28665    17  5320   198   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220]","[  220   220   220   220   220   220   220   220  1279  7146  1398  2625
 11299  5320   198   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220  1279  7146  1398  2625 28665    16  5320   198   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220  7359  7146    29
   198   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
  1279  7146  1398  2625 28665    17  5320   198   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220  7359  7146    29   198   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220]",0
7,"[  405  1961 24036   198   197   197   197   298   871    13  4550  5855
   291  1980  1600   705    59    84   405  6500 24036   198   197   197
   197   298   871    13  4550  5855  1505    75  1600   705    59    84
   405 25425 24036   198   197   197   197   298   871    13  4550  5855
  2788  1600   705    59    84   405    37    15 24036   198   197   197
   197   298   871    13  4550  5855   429 44725  1600   705    59    84
   405    37    16 24036   198   197   197   197   298   871    13  4550
  5855   519  5758  1600   705    59    84   405    37    17 24036   198
   197   197   197   298   871    13  4550  5855    78   330  1133  1600
   705    59    84   405    37    18 24036   198   197   197   197   298
   871    13  4550  5855   420  1980  1600   705    59    84   405    37
    19 24036   198   197   197   197   298   871    13  4550  5855   313
 44725  1600   705    59    84   405    37    20 24036   198   197   197
   197   298   871    13  4550  5855   280  4029  1600   705    59    84
   405    37    21 24036   198   197   197   197   298   871    13  4550
  5855  7146   485  1600   705    59    84   405    37    22 24036   198
   197   197   197   298   871    13  4550  5855]","[  405  1961 24036   198   197   197   197   298   871    13  4550  5855
   291  1980  1600   705    59    84   405  6500 24036   198   197   197
   197   298   871    13  4550  5855  1505    75  1600   705    59    84
   405 25425 24036   198   197   197   197   298   871    13  4550  5855
  2788  1600   705    59    84   405    37    15 24036   198   197   197
   197   298   871    13  4550  5855   429 44725  1600   705    59    84
   405    37    16 24036   198   197   197   197   298   871    13  4550
  5855   519  5758  1600   705    59    84   405    37    17 24036   198
   197   197   197   298   871    13  4550  5855    78   330  1133  1600
   705    59    84   405    37    18 24036   198   197   197   197   298
   871    13  4550  5855   420  1980  1600   705    59    84   405    37
    19 24036   198   197   197   197   298   871    13  4550  5855   313
 44725  1600   705    59    84   405    37    20 24036   198   197   197
   197   298   871    13  4550  5855   280   330  1133  1600   705    59
    84   405    37    21 24036   198   197   197   197   298   871    13
  4550  5855   420  1980  1600   705    59    84   405    37    22 24036
   198   197   197   197   298   871    13  4550]",0
8,"[  670   379  2793  3965   621  1450   290  5160  1342    13   317  4096
  3739    11  3208  8463  6797    11   366 19188    11   329   262   717
   640    11  2148  1466   351  1204    12  6511   357  4666   395     8
  3034 10404   290  2324    11   257  1688  1738  1521   340   318  4318
   284 43268  1634   526   198   198    24     8  1867   338   262  5940
    14 33203 14012  1339   329  4096  3739    30   198   198   464  8591
 20782    89    12    69  7626  1339   329  4096  3739   318  4199  1417
   287   617  3953   319   257 19976   286   262  4683  9490  1181    11
   290   257  1624   326 18941   278   262   976  1637   656   257  4096
  3739   561  1255   287  1365 10906    13   198   198  1890   530  1517
    11   340   561  1884  2421  1342 25250   284  3494   621   867  4683
  9490  4056    13   366   464  4094  4621   286   257   685 31591  3739
  1687    60   318   326   340  4433   262 18197  1744 25250   284  3494
   553 13145   311 26183    11   257   826    12 25909  4141 23723    11
  2630   287  2254  4913    13   366  2949  2392   561   262  2717   290
  1181  6905  5529   262 30190  3294  5942  3306   284 14983  2057 25560
    11  1171  5627    11 13594    11  5003  9490]","[  670   379  2793  3965   621  1450   290  5160  1342    13   317  4096
  3739    11  3208  8463  6797    11   366 19188    11   329   262   717
   640    11  2148  1466   351  1204    12  6511   357  4666   395     8
  3034 10404   290  2324    11   257  1688  1738  1521   340   318  4318
   284 43268  1634   526   198   198    24     8  1867   338   262  5940
    14 33203 14012  1339   329  4096  3739    30   198   198   464  8591
 20782    89    12    69  7626  1339   329  4096  3739   318  4199  1417
   287   617  3953   319   257 19976   286   262  4683  9490  1181    11
   290   257  1624   326 18941   278   262   976  1637   656   257  4096
  3739   561  1255   287  1365 10906    13   198   198  1890   530  1517
    11   340   561  1884  2421  1342 25250   284  3494   621   867  4683
  9490  4056    13   366   464  4094  4621   286   257   685 31591  3739
  1687    60   318   326   340  4433   645 23143   553  1139  3208  8463
    13   366  1026   338   257  2829    11 15836    11 13245    11   290
  3148  1080   526   198   198   464  4096  3739   561   635   307   517
  6942   621  4683  9490  4056    11   543   389  1690 10588   416   257
  6087   286  5704   290  1230  4581    13   366]",0
9,"[17128     8   628   220   220   220  1303  6208   618  1366   287  4197
  3419   290  6121  3419   389  1180   198   220   220   220  1395   796
 45941    13 18747 26933   198   220   220   220   220   220   220   220
   685    15    11   657  4357   198   220   220   220   220   220   220
   220   685  2616    11   362  4357   198   220   220   220   220   220
   220   220   685    19    11   513  4357   198   220   220   220   220
   220   220   220   685    20    11   718  4357   198   220   220   220
   220   220   220   220   685    22    11   767  4357   198   220   220
   220   220   220   220   220   685    24    11   807  4357   198   220
   220   220   220   220   220   220   685  1157    11  1467    60   198
   220   220   220 33761   628   220   220   220  1395    16   796 45941
    13 18747 26933   198   220   220   220   220   220   220   220   685
    16    11   657  4357   198   220   220   220   220   220   220   220
   685    18    11   362  4357   198   220   220   220   220   220   220
   220   685    19    11 12385    60   198   220   220   220 33761   628
   220   220   220  1395    62    17    62    16   796   357    15  1343
   513  1343   718  1343   767  1343   807     8]","[17128     8   628   220   220   220  1303  6208   618  1366   287  4197
  3419   290  6121  3419   389  1180   198   220   220   220  1395   796
 45941    13 18747 26933   198   220   220   220   220   220   220   220
   685    15    11   657  4357   198   220   220   220   220   220   220
   220   685  2616    11   362  4357   198   220   220   220   220   220
   220   220   685    19    11   513  4357   198   220   220   220   220
   220   220   220   685    20    11   718  4357   198   220   220   220
   220   220   220   220   685    22    11   767  4357   198   220   220
   220   220   220   220   220   685    24    11   807  4357   198   220
   220   220   220   220   220   220   685  1157    11  1467    60   198
   220   220   220 33761   628   220   220   220  1395    16   796 45941
    13 18747 26933   198   220   220   220   220   220   220   220   685
    16    11   657  4357   198   220   220   220   220   220   220   220
   685  2616    11   362  4357   198   220   220   220   220   220   220
   220   685    19    11   513  4357   198   220   220   220   220   220
   220   220   685    20    11   718  4357   198   220   220   220   220
   220   220   220   685    22    11   767  4357]",0
