,0,1,2
0,"[11598   532 23127  2246  2640    55   532 35504 30531   532 22401   532
    54   301  2012    12 11235 13567   532    54 19509   268    12  2414
    12  1462    12  2624   532 35504 30531   532    70   532    69 37150
    85   532 16748   532 22401   532    54   301  2012    12 11235 13567
   532 41819 17534    62    35  5446 11598   532   998  2124  4521    62
  2414   532   998  1312 21734   532 34360   532    40    14 11964    14
 23377    14 42026    14 37906    13 30604    14 45150    14    17    13
    22    14 17256    14 29412    17    13    22   532    66  1220 19734
    14 22065    14    79   541    62 11249    62 15763    14 13116 23912
    14 10677    14 45895    62 39996    14 45895    62   330  5276 47835
 45895    62   330  5276    13    66   532    78  1382    14 29510    13
 20285   418    87    12   940    13    24    12 48779    12    17    13
    22    14 19734    14 22065    14]","[11598   532 23127  2246  2640    55   532 35504 30531   532 22401   532
    54   301  2012    12 11235 13567   532    54 19509   268    12  2414
    12  1462    12  2624   532 35504 30531   532    70   532    69 37150
    85   532 16748   532 22401   532    54   301  2012    12 11235 13567
   532 41819 17534    62    35  5446 11598   532   998  2124  4521    62
  2414   532   998  1312 21734   532 34360   532    40    14 11964    14
 23377    14 42026    14 37906    13 30604    14 45150    14    17    13
    22    14 17256    14 29412    17    13    22   532    66  1220 19734
    14 22065    14    79   541    12 11249    12    69    24    65    23
    65    23    66    20    14    79   541    14    79   541    13    66
   532    78  1382    14 29510    13 20285   418    87    12   940    13
    24    12 48779    12    17    13    22    12    87  4521    62  2414
    12    17    13    22    14    79]",0
1,"[  546   257  1862  2576   508   373 16110   290   262  2928   340   468
   550   319   607  1204    13  1375  1422   470   989   340    11   475
   788   673  7224   607 38007   379  1524   290   673   468   284   787
   257  2551  1377   910  2147    11  1445   319    11   393  2526  5486
   510   290  6476   477   262 19135   286   326    13 19602   407   852
  4762    13   887   611   673  1139  2147    11   644   611   339   857
   340   757    30  1320  1549   307   319   683    11   475   673  1549
  1254   588   673   815  1053  3088   284   466  1223   284  2245   340
    13  1320   338   257  6573 26566   326   835  1165   867  4813   423
   284  1986    13   198   198    22    13  7232 22393   416  5181 19635
   532   770   318   257  1621   546 18522   290  5110  8526   290  6958
   326   389  2642   290 27942    13   383  1388  2095  2125   470  1464
   262 16638  1048   284   588   290]","[  546   257  1862  2576   508   373 16110   290   262  2928   340   468
   550   319   607  1204    13  1375  1422   470   989   340    11   475
   788   673  7224   607 38007   379  1524   290   673   468   284   787
   257  2551  1377   910  2147    11  1445   319    11   393  2526  5486
   510   290  6476   477   262 19135   286   326    13 19602   407   852
  4762    13   887   611   673  1139  2147    11   644   611   339   857
   340   757    30  1320  1549   307   319   683    11   475   673  1549
  1254   588   673   815  1053  3088   284   466  1223   284  2245   340
    13  1320   338   257  1256   286  3833    13   198   198    40   892
   340   338  1593   284  3505   326   262  3117   287   428  1339   318
   257  1862  2576    13  1375   338   407   257  1200    13  1375   338
   407   257 15287    13  1375   338   407   257  1862  2415    13  1375
   338   257  1862  2576    13   843]",0
2,"[  345  1833    13   314   423 19745    13   314  1101   636   286   262
  1339    13  1114  9538   338 11060    11   314   373   262   717  3818
   379   262  3715   526   198   198   464 11000 32198   379   607    11
   555 11011  2790    13   383   584  5166   286 19586   550  3888  5699
    11  6189  5597   284  2897 11559    13 48685 30050   606   257  6639
  3101   306  6029  8212    13   843  7342   355  6093 15906 42037   441
 44828   656   262 17304  2157   606    13   198   198     1 21467     6
   321    11   314  1276  1265   345   284  6313   553   262   717  1908
   563   531    13   198   198     1  8496   338   262  4065    12 29734
  2604  1701 48685  1965    13   366  5703   651   262  2604   290   314
  1183   905   345   810   314  1101  4488   287   526   198   198  1890
   262   717   640    11   262 11000 41723    13 48685   338 26744   550
   587   826    13  2312  3730   547]","[  345  1833    13   314   423 19745    13   314  1101   636   286   262
  1339    13  1114  9538   338 11060    11   314   373   262   717  3818
   379   262  3715   526   198   198   464 11000 32198   379   607    11
   555 11011  2790    13   383   584  5166   286 19586   550  3888  5699
    11  6189  5597   284  2897 11559    13 48685 30050   606   257  6639
  3101   306  6029  8212    13   843  7342   355  6093 15906 42037   441
 44828   656   262 17304  2157   606    13   198   198     1 21467     6
   321    11   314  1276  1265   345   284  6313   553   262   717  1908
   563   531    13   198   198     1    40  1101   407  4305   553   673
   531    13   366    40  1101   994   284  1037   526   198   198     1
    40  1101  7926    11 17266     6   321    11   475   314   460   470
  1309   345  2666   526   198   198     1    40  1101   407  4305   553
   673   531    13   366    40  1101]",0
3,"[   4 4524    4 3388    4   21   37    4   21   36    4 2078    4 1959
    4   22   33    4 1238    4   21   32    4 4349    4 2425    4 2996
    4 4761    4 3720    4 2078    4 1983    4 1954    4 5333    4 2414
    4 2414    4 3388    4 4304    4 1983    4 1959    4   17   36    4
 5066    4 4790    4 4790    4 2078    4 1983    4 5237    4 5333    4
 5066    4   21   33    4 3134    4 4761    4   21   37    4 2425    4
   21   36    4 2414    4 1983    4   17   34    4 1983    4 4524    4
 4761    4 5333    4   21   36    4 4790    4 2154    4 5333    4 4761
    4 2996    4   21   36    4 4524    4 1983    4 1959    4   22   35
    4   17   34    4 1238    4 3132    4 1270    4 1270    4 1270    4
 1238    4 1959    4   18   33    4   22   35    4]","[   4 4524    4 3388    4   21   37    4   21   36    4 2078    4 1959
    4   22   33    4 1238    4   21   32    4 4349    4 2425    4 2996
    4 4761    4 3720    4 2078    4 1983    4 1954    4 5333    4 2414
    4 2414    4 3388    4 4304    4 1983    4 1959    4   17   36    4
 5066    4 4790    4 4790    4 2078    4 1983    4 5237    4 5333    4
 5066    4   21   33    4 3134    4 4761    4   21   37    4 2425    4
   21   36    4 2414    4 1983    4   17   34    4 1983    4 4524    4
 4761    4   21   37    4   21   36    4 2078    4 1959    4   22   33
    4 1238    4   21   32    4 4349    4 2425    4 2996    4 4761    4
 3720    4 2078    4 1983    4 1954    4 5333    4 2414    4 2414    4
 3388    4 4304    4 1983    4 1959    4   17   36]",0
4,"[ 3078   318   991 12000   286   262  2300   198   392   468   925   645
  6922   287   262  2300  1865    11   262  9072   447   247    82 23942
 12073   198    83   472 11108  2683   546   262  1230   447   247    82
 21508    13  4162   318   340   198 36747  1516   278   262 12934   286
   262 14219  4513   625  7024    30   198  5195   318   340  2263   884
   257 39340 28594 46272  1302    11   290   284  1037  4150    30   198
 11486    11   262  2465   428   561   466  2925  1290  3675   772   262
   583    77  6243 13360   198  1659  3432  1705    13  1002   262  1230
   468   663   835    11   340   561  1612   612   318   645   198  8625
  2738   393  1767   326   318 29669   284 16697  3278 22895   287   198
  1169  1499    13   632   561   635  1612   262  2726 29337   286   262
  5635   286   198 18789  5920   588   262 13182    40   290   262   327
  4760   326   423  6157   511   198]","[ 3078   318   991 12000   286   262  2300   198   392   468   925   645
  6922   287   262  2300  1865    11   262  9072   447   247    82 23942
 12073   198    83   472 11108  2683   546   262  1230   447   247    82
 21508    13  4162   318   340   198 36747  1516   278   262 12934   286
   262 14219  4513   625  7024    30   198  5195   318   340  2263   884
   257 39340 28594 46272  1302    11   290   284  1037  4150    30   198
 11486    11   262  2465   428   561   466  2925  1290  3675   772   262
   583    77  6243 13360   198  1659  3432  1705    13  1002   262  1230
   468   663   835    11   262  2104 13901  1429   198 19188   307  8754
   656 11918    13   198   198   464  9072   447   247    82 23942   318
   257  1598  2230   284 16637   262   198    36  1564  4513   447   247
    82 12934   625  7024    13   632   318   257  1598   198  1078  1791
   284 16637   262 11540   286   262]",0
5,"[  636   286   428  1181  4934    13 12511   262 29065   396  8876   286
  1099   286   262  4302   995   428 11515  3038   318  1464   564   246
 19298   276   447   247   532   290  3614   532   416   262  2440 26231
  2470  7989   286  1879 21416    11   543   318 11777  6241   287   262
  1994  7811   286  7835  4819    25  8108    11 15831  6806   290  3834
    82 19830  6806    13  1879 21416    25   262   564   246 22178 13437
 46392   447   247  4302 15028 23602   290 45979  3357   286  7842 11227
   414   351   477  8109   326   761  4800   290  6829    13  3274   290
 20976   777   389   883   661   326   389  8826    11 38533 13939   393
  4939    12 14543   532  1751    11  1466    11   262  3595    11   262
  6639    11   262 29103  6320   290   262  9950    13   887   777   389
   635   262  4695   290  6134   326  2314  2740   510   329  2405   290
   326   389  2426   284   582   447]","[  636   286   428  1181  4934    13 12511   262 29065   396  8876   286
  1099   286   262  4302   995   428 11515  3038   318  1464   564   246
 19298   276   447   247   532   290  3614   532   416   262  2440 26231
  2470  7989   286  1879 21416    11   543   318 11777  6241   287   262
  1994  7811   286  7835  4819    25  8108    11 15831  6806   290  3834
    82 19830  6806    13  1879 21416    25   262   564   246 22178 13437
 46392   447   247  4302 15028 23602   290 45979  3357   286  7842 11227
   414   351   477  8109   326   761  4800   290  6829    13  3274   290
 20976   777   389   883   508   389   564   246   259   761   447   247
    11   508   389   564   246   259   761   447   247   286   262  4800
   290  6829   286   262  4564    13   198   198   464  4569  4302 29520
   286  1879 21416   318   257   564   246    79   699   447   247 29520
    11   257   564   246    79   699]",0
6,"[  198   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   277 30642 24539   796   657    26   198   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220  1500  1149     9 11241  5376   796 11241    13    66    62
  2536  9783   198   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220  1500  3661 27608 12360     9 11241
 12360 14277    62  1268  2043    62 10468    62 10116    46  2389    62
 31502    26   198   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   611   357 18608  2790  6624  3991
     8  1391   198   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220  3661 23114
 31431  2099   796   277 12360  3784  1136  6030  9783   198   220   220
   220   220   220   220   220   220]","[  198   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   277 30642 24539   796   657    26   198   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220  1500  1149     9 11241  5376   796 11241    13    66    62
  2536  9783   198   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220  1500  3661 27608 12360     9 11241
 12360 14277    62  1268  2043    62 10468    62 10116    46  2389    62
 31502    26   198   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   611   357 30001  5376 11405  1635
 30001  5376     8  1391   198   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
 11241 12360   796  3661 27608 12360  3712  3855 27608 12360     7 30001
  5376  1776   198   220   220   220]",0
7,"[  262 19636    12 32454 28939  3918    13   383 25030    12  1040 12987
 12429    77  1015  1174   973  6235   610  2052   329   262   717   640
   287  4492    11  8620   262 22563   276 13387   284   649   290 29527
  1112 23245    13   383  3463   286   262  7815   318 28068   416  4858
 30485    11   511  6002  1272 22598   416  8871 31451   680    12 10745
  2290  5864 38445  7572    13   317  3420   319   262  8830  1735  3607
  1895   284   262 12429 36170  1174   837   422   810   612   389  4950
  5009    13  8621   283   515   422   262   299  1015   416   257 24569
 30623  3159   318   262 12429  6679   343  1174   837   810   262  3223
 36155 40308   389 43861   416   262  1511   701    12  8929 12429 27832
   338 19262  1174    13 12197    11   262 12429  1925   499   417   286
   262 16431 12344   945  1174  9667   422   262   294   343 20283  4289
    13  3423    11   290  1088   262]","[  262 19636    12 32454 28939  3918    13   383 25030    12  1040 12987
 12429    77  1015  1174   973  6235   610  2052   329   262   717   640
   287  4492    11  8620   262 22563   276 13387   284   649   290 29527
  1112 23245    13   383  3463   286   262  7815   318 28068   416  4858
 30485    11   511  6002  1272 22598   416  8871 31451   680    12 10745
  2290  5864 38445  7572    13   317  3420   319   262  8830  1735  3607
  1895   284   262 12429 36170  1174   837   422   810   612   389  4950
  5009    13  8621   283   515   422   262   299  1015   416   257 24569
 30623  3159   318   262 12429  6679   343  1174   837   351   663 15962
 23470 42644 40308    13   198   198  4242     2 12429   464 38700  6223
  1174   198   198   464 12429   565    78  6223  1174   837   262 13325
   636   286   262 41756    11   389   262   749  8036   636   286   262
  2615    13  1119   389   257  2168]",0
8,"[  318    25   770   318   616  7077    13   383  1893   318 11561   287
  4039    11   475   262  1893   318  1690   401  1640   353   287  4039
    11   355   880    13   632   318   616  7077   284   307   532   284
  1949   284  4467   355  1266   355   314  1692   306   460   257  6151
   530   508   318   287 41210    13   447   251   198   198  5246    13
  5511    11   329  4554    11   468  1908  2614  7475   284   262  4172
   286   790   530   286   262   517   621   604    11   830  6553   508
   423  3724   287   262   734  9976    11   281  9812  2614  3626   326
 13529  2250   286   465   640   290 13537  1171  4003    13   383  4876
    11  1863   351  3249  1641  1866   286  6553  2923   287  2223    11
   468   587   523 34561   278   532 22486   262  8993    11 18522   290
 11293   286  4172 35326   351   262  2994  6194  1143   416   257  6056
    12    67 31951 30834   532   326]","[  318    25   770   318   616  7077    13   383  1893   318 11561   287
  4039    11   475   262  1893   318  1690   401  1640   353   287  4039
    11   355   880    13   632   318   616  7077   284   307   532   284
  1949   284  4467   355  1266   355   314  1692   306   460   257  6151
   530   508   318   287 41210    13   447   251   198   198  5246    13
  5511    11   329  4554    11   468  1908  2614  7475   284   262  4172
   286   790   530   286   262   517   621   604    11   830  6553   508
   423  3724   287   262   734  9976    11   281  9812  2614  3626   326
 13529  2250   286   465   640    13   198   198  1537  1770    13  5511
   468   635  1908   257  3850   284   262  4172   286   262   517   621
   352    11   830  5795   508   423  3724   287  3908    11   257  3850
   326   468   587  1100   416   517   621   352    11   830   661    13
   198   198   464  1893   468   635]",0
9,"[12001    14 43073    14 10414    14 43073    17    13 10414   198    14
 14629    14 12001    14 43073    14 10414    14 43073    13 10414   198
    14 14629    14 12001    14 43073    14 10414    14  4023    67    13
 10414   198    14 14629    14 12001    14 43073    14 10414    14  4023
    67    13 10414     4   405   198    14 14629    14 12001    14 43073
    14 10414    14  4023    67    13 10414    13 12286   198    14 14629
    14 12001    14 43073    14 10414    14  4666  2363    13 10414   198
    14 14629    14 12001    14 43073    14 10414    14 10121    13  5362
   198    14 14629    14 12001    14 43073    14 10414    14 10121    13
  5362     4   405   198    14 14629    14 12001    14 43073    14 10414
    14    85  4774    82    13 10414   198    14 14629    14 12001    14
 43073    14 10414    14    85  4774    82    12 23144    13 10414   198
    14 14629    14 12001    14 43073]","[12001    14 43073    14 10414    14 43073    17    13 10414   198    14
 14629    14 12001    14 43073    14 10414    14 43073    13 10414   198
    14 14629    14 12001    14 43073    14 10414    14  4023    67    13
 10414   198    14 14629    14 12001    14 43073    14 10414    14  4023
    67    13 10414     4   405   198    14 14629    14 12001    14 43073
    14 10414    14  4023    67    13 10414    13 12286   198    14 14629
    14 12001    14 43073    14 10414    14  4666  2363    13 10414   198
    14 14629    14 12001    14 43073    14 10414    14 10121    13  5362
   198    14 14629    14 12001    14 43073    14 10414    14 10121    13
  5362     4   405   198    14 14629    14 12001    14 43073    14 10414
    14 10121    13  5362    13 12286   198    14 14629    14 12001    14
 43073    14 10414    14 10121    13  5362    13 12286     4   405   198
    14 14629    14 12001    14 43073]",0
