,0,1,2
0,"[   20     8  1343   277  2235    77     7    34    11    35    11    36
     8  1343   309  1343  1635 25527  4880  1343  7102  2257  2235    77
    26   327   796   371  2624     7    34    11  1270     8   198   198
 15211   466 25630 13389  9466   198   198 12708  7951   198 26270    62
 35636     7 37596 15252  1635 26270    62 10951     8   198    90   198
   220   220   220   493  1312    26   198   220   220   220 25630    62
 12394  2624   309    11   317    11   347    11   327    11   360    11
   412    11   370    58  1795  4357  1635 25527    26   628   220   220
   220  1066    66  9078     7    54    11   427    64    62 10951  3784
  7890    11 39364     7 26270    62 10951  3784  7890 18125   198   220
   220   220   890    49   964   325     7    54    11   357   600     8
  7857  1659     7 26270    62 10951  3784  7890   828   427    64    62
 10951  3784 12915   666  1108  1776   628   220   220   220   329   357
    72   796  1467    26  1312  1279  4019    26 19969    72     8  1391
   198   220   220   220   220   220   220   220   370    58    72    60
   796   370    58    72    12    18    60 10563   370    58    72    12
    23    60 10563   370    58    72    12  1415    60 10563   370    58
    72    12  1433 11208   628   220   220   220   220   220   220   220
 11900  3131 13179  4259  9466   198   220   220   220   220   220   220
   220   370    58    72    60   796   371  2624     7    54    58    72
  4357   352  1776   198   220   220   220  1782   198   220]","[   20     8  1343   277  2235    77     7    34    11    35    11    36
     8  1343   309  1343  1635 25527  4880  1343  7102  2257  2235    77
    26   327   796   371  2624     7    34    11  1270     8   198   198
 15211   466 25630 13389  9466   198   198 12708  7951   198 26270    62
 35636     7 37596 15252  1635 26270    62 10951     8   198    90   198
   220   220   220   493  1312    26   198   220   220   220 25630    62
 12394  2624   309    11   317    11   347    11   327    11   360    11
   412    11   370    58  1795  4357  1635 25527    26   628   220   220
   220  1066    66  9078     7    54    11   427    64    62 10951  3784
  7890    11 39364     7 26270    62 10951  3784  7890 18125   198   220
   220   220   890    49   964   325     7    54    11   357   600     8
  7857  1659     7 26270    62 10951  3784  7890   828   427    64    62
 10951  3784 12915   666  1108  1776   628   220   220   220   329   357
    72   796  1467    26  1312  1279  4019    26 19969    72     8  1391
   198   220   220   220   220   220   220   220   370    58    72    60
   796   370    58    72    12    18    60 10563   370    58    72    12
    23    60 10563   370    58    72    12  1415    60 10563   266  2414
    32     7    54    58    72    12  1433  4357   427    64    62 10951
  3784    67 17831     7 26270    62 10951  3784  2539   828  1312  1776
   198   220   220   220  1782   628   220   220   220   329   357    72
   796  8093    26  1312  1279 13108    26 19969    72    11]",0
1,"[20034  5258    28    88   198 10943 16254    62 14181    43    23 17477
 43633    28    76   198 10943 16254    62 14181    43    54  5064    40
    28    76   198 10943 16254    62 14181    43    54  5064    40    62
 27155    28    76   198     2 25626    62 14181    43    54  5064    40
    62 30531   318   407   900   198 10943 16254    62 14181    43    23
 17477    34    62  9858 27857    28    76   198 10943 16254    62    54
    43    62 25621    28    88   198 10943 16254    62    54    43  1065
  4349    28    76   198     2 25626    62    54    43  1065  4349    62
  4303    40   318   407   900   198 10943 16254    62    54    43  1065
  8051    28    76   198 10943 16254    62    54    43  1507  8051    28
    76   198 10943 16254    62    54  5639  6965    28    76   198     2
 25626    62    54  5639  6965    62  4303    40   318   407   900   198
 10943 16254    62    57    35  1065  1157 46747    28    76   198     2
 25626    62    57    35  1065  1157 46747    62 30531   318   407   900
   198 10943 16254    62 14326  5064    40  6369    28    76   198 10943
 16254    62 14326  5064    40  6369    62 27155    28    76   198 10943
 16254    62 43538 27550    28    76   198     2 25626    62 43538 27550
    62    54 25697    62  4303    40   318   407   900   198 10943 16254
    62  6998    40    62  6420    55    28    76   198     2 25626    62
  6998    40    62 30531 10652   318   407   900   198 10943 16254    62
  6998    40    62 27155    28    76   198   198     2   198]","[20034  5258    28    88   198 10943 16254    62 14181    43    23 17477
 43633    28    76   198 10943 16254    62 14181    43    54  5064    40
    28    76   198 10943 16254    62 14181    43    54  5064    40    62
 27155    28    76   198     2 25626    62 14181    43    54  5064    40
    62 30531   318   407   900   198 10943 16254    62 14181    43    23
 17477    34    62  9858 27857    28    76   198 10943 16254    62    54
    43    62 25621    28    88   198 10943 16254    62    54    43  1065
  4349    28    76   198     2 25626    62    54    43  1065  4349    62
  4303    40   318   407   900   198 10943 16254    62    54    43  1065
  8051    28    76   198 10943 16254    62    54    43  1507  8051    28
    76   198 10943 16254    62    54  5639  6965    28    76   198     2
 25626    62    54  5639  6965    62  4303    40   318   407   900   198
 10943 16254    62    57    35  1065  1157 46747    28    76   198     2
 25626    62    57    35  1065  1157 46747    62 30531   318   407   900
   198 10943 16254    62 14326  5064    40  6369    28    76   198 10943
 16254    62 14326  5064    40  6369    62 27155    28    76   198 10943
 16254    62 43538 27550    28    76   198     2 25626    62 43538 27550
    62 27155   318   407   900  1220 25626    62    43 22117    23 28977
    62 27155    28    76   628   198  1003 11759    47 11128   198  1003
   198  1003 11759 10246 33177    62  4805 28644   290 11759 10246 33177
    62  4805  3185    62 45849  8160  1720    12  2340   286]",0
2,"[ 1174   198   198  3581 22507 40304   284  1171  1096  1104   286 17141
  9592   628 12429 13729    82  1174   198   198  3581 17762   290 12127
 10976   329  1687  4959   628 12429 20012  1174   198   198  3581  3771
    12  9612  7534   329  3946   198   198  3581 14487 28822   832  3220
  5339   930  5595  5930   510 46924   287 40304   546   262 17141  9592
   338   761   329 10976   198   198  3581 33085  1479    11   991    12
 48797  1613  1678   379   262   886   286   262  3329   198   198  3581
  6889 15331 10976   198   198  3581 13610 11078    12 12001  1430  3501
 12741   284   511  7534   198   198  3581  6889 44285   284 17141  9592
   198   198  9039  3790    91   220 12429  3041  4080  1174   198   198
  3581  6889   517 13339   379   262 40304   628 12429 20012  1174   198
   198  3581 45255   453  4236   284  2342 40304   198   198    91  5595
 13610   257  1171 18807  9780  1430   220   220   198 46445  2865   278
 11684    91   220 12429  3041  4080  1174   198   198  3581   968  4581
  2884  2057  7779   198   198    91  5595  1004   589   290  8076   257
  4445  2057  7779   220   220   198 48412   364     6  1910    91   220
 12429  3041  4080  1174   198   198  3581 25146   649  4297   416  6301
 40304   338  1613  1678   198   198  3581  2449   631   284  2721 46924
  8560   262 40304   930  5595 44290  6891   290  1613  1678   198   198
  3581  7157   503   781  3183   287 40304   546   262  1109   262  1613
  1678   389   783  2702   287   262  1910   357 26239  8560]","[ 1174   198   198  3581 22507 40304   284  1171  1096  1104   286 17141
  9592   628 12429 13729    82  1174   198   198  3581 17762   290 12127
 10976   329  1687  4959   628 12429 20012  1174   198   198  3581  3771
    12  9612  7534   329  3946   198   198  3581 14487 28822   832  3220
  5339   930  5595  5930   510 46924   287 40304   546   262 17141  9592
   338   761   329 10976   198   198  3581 33085  1479    11   991    12
 48797  1613  1678   379   262   886   286   262  3329   198   198  3581
  6889 15331 10976   198   198  3581 13610 11078    12 12001  1430  3501
 12741   284   511  7534   198   198  3581  6889 44285   284 17141  9592
   198   198  9039  3790    91   220 12429  3041  4080  1174   198   198
  3581  6889   517 13339   379   262 40304   628 12429 20012  1174   198
   198  3581 45255   453  4236   284  2342 40304   198   198    91  5595
 13610   257  1171 18807  9780  1430   220   220   198 46445  2865   278
 11684    91   220 12429  3041  4080  1174   198   198  3581   968  4581
  2884  2057  7779   198   198    91  5595  1004   589   290  8076   257
  4445  2057  7779   220   220   198 48412   364     6  1910    91   220
 12429  3041  4080  1174   198   198  3581 25146  4297   286  4445  7545
    11  4439  1910  1474  3650   379  1910   930  5595 10054  1642   287
 21372   290 14080  9013  1474  1989  3641    26  2897   262 12209 18739
   338  1910  7988   628 12429 20012  1174   198   198  5008   110  5008
   110  5008   110  5008   110  5008   110 11019   110 12429]",0
3,"[  526   366 13482  2921   514   428  1956   284  2648   526   366  6423
   339   815   423  1813   514   517   286   340   526   366 24446   683
   526   366  4826 13220    11   612   655  2125   470  1576  1956   526
   366  1858   389  1165   867   286   514   526   366   464  4453   481
  2148   526   366 11980  4562   526   366   818   257  5770   356  2314
   766  1701   366  1026   338   640   356   467   674  4553  2842   526
   366  2949   526   366  2949    11   356  1276  2652  1978   526   366
 25681   290 47141  1701   366 25681   290  2342   674  1450  1494  1123
   584   625   257 11865   286  8701  1701   366  3118  2375    11   356
   821  4305   526   366 16371   880   526   366  8496   466   345   765
   284   467  1701   366  2514   262 10536   877  1613   942  5699   284
 43829   296   526   366    50   375   296  1701   366 12322  1337   526
   366  3152   645  1751   286   465   898   553   366  4826 13220   338
 26301 15099   318   262 11706  1517   339   468   284   257  3367   526
   366  2437   460   314  1085   257   661   986   618   314   460   470
   772  1085   616   898  1641  1701   366 21063   306  2474   366 22087
   683  2474   366  1026   338   530   286 15099   338  1450  2474   366
  1026   338 20607  2731   526   366    39 16682  2474   366  4366  2618
  1037   683  2474   366  4342   526   366 35806   319   502   526   366
  2061  3022  1701   366  1135  1422   470  1302   257  2863   526   366
  1858   547   523   867   286   606   526   366  1870 15099]","[  526   366 13482  2921   514   428  1956   284  2648   526   366  6423
   339   815   423  1813   514   517   286   340   526   366 24446   683
   526   366  4826 13220    11   612   655  2125   470  1576  1956   526
   366  1858   389  1165   867   286   514   526   366   464  4453   481
  2148   526   366 11980  4562   526   366   818   257  5770   356  2314
   766  1701   366  1026   338   640   356   467   674  4553  2842   526
   366  2949   526   366  2949    11   356  1276  2652  1978   526   366
 25681   290 47141  1701   366 25681   290  2342   674  1450  1494  1123
   584   625   257 11865   286  8701  1701   366  3118  2375    11   356
   821  4305   526   366 16371   880   526   366  8496   466   345   765
   284   467  1701   366  2514   262 10536   877  1613   942  5699   284
 43829   296   526   366    50   375   296  1701   366 12322  1337   526
   366  3152   645  1751   286   465   898   553   366  4826 13220   338
 26301 15099   318   262 11706  1517   339   468   284   257  3367   526
   366  2437   460   314  1085   257   661   986   618   314   460   470
   772  1085   616   898  1641  1701   366 21063   306  2474   366 22087
   683  2474   366  1026   338   530   286 15099   338  9397   526 12878
  1199 11011   364 30866   366  1544   373   523  1969  2474   366  1544
   373  2636  2157   883 14966   611   339   750  2147   981  9397   547
  5170  1123   584  2474   366    40   481  9313   366 16794  1793  3613
   465  1204   526   366 13482   318   257  2988   783   526]",0
4,"[15133  6608    13  2080   262 11963   286  1459  3037 10282  4632   656
   262   850    12 17805 16912 35153    50  3814    11  7605   423   587
  4166   329  9664   803  4580    12  1416  3021  4410   351 12278 15133
  4847    13   198  3198   884  2446    11 16404   287   471    13    50
    13  3208    13  1400    13   718    11 33551    11 31360    11  4884
   284 11264  2123   435  1539 35445  2123 10813   257 35091   284 10170
  4553   262  3189   425  2587   319   262  3335   290   788 12591   326
 35091   351   281  1035  8306  2587   287  1502   284   302    12 47348
   262   734 16690    13  6660    11   262 12278 15133   318  4143  2727
   416  7720   262  3189   425  4637   290   788   285  1571   262  2005
   351   281 30880  1146  7010   803  9136    13  2080   262  1035  8306
  7679  2087    11   262  3335   318   757 47878  5884  5086   262 12314
   398  3055 36684  4843   286   262 35153    50  3335   284  2555    13
   198  3198  1917  3917   351   262 35091    12 20797  2446   329 30880
  1146  7010   803 35153    50  4410    11   389   262 22357   871   393
  7951    82   326   389  6032  7042   287   262  1035  8306  2587 12591
   262 35091    13   383  2587   973   329   262  1035  8306  7679  6032
   857   407 42096  6070   262 40068    13   383 30690  1108   743  4143
  2728   262  6727  6903   286   262 35091   284  1969   878   262  2793
  6903   286   262 35091   318  3190  5901    13   770  8075 17332   393
  7951    82  1626   262 35091   326   460  3360 13813   262]","[15133  6608    13  2080   262 11963   286  1459  3037 10282  4632   656
   262   850    12 17805 16912 35153    50  3814    11  7605   423   587
  4166   329  9664   803  4580    12  1416  3021  4410   351 12278 15133
  4847    13   198  3198   884  2446    11 16404   287   471    13    50
    13  3208    13  1400    13   718    11 33551    11 31360    11  4884
   284 11264  2123   435  1539 35445  2123 10813   257 35091   284 10170
  4553   262  3189   425  2587   319   262  3335   290   788 12591   326
 35091   351   281  1035  8306  2587   287  1502   284   302    12 47348
   262   734 16690    13  6660    11   262 12278 15133   318  4143  2727
   416  7720   262  3189   425  4637   290   788   285  1571   262  2005
   351   281 30880  1146  7010   803  9136    13  2080   262  1035  8306
  7679  2087    11   262  3335   318   757 47878  5884  5086   262 12314
   398  3055 36684  4843   286   262 35153    50  3335   284  2555    13
   198  3198  1917  3917   351   262 35091    12 20797  2446   329 30880
  1146  7010   803 35153    50  4410    11   389   262 22357   871   393
  7951    82   326   389  6032  7042   287   262  1035  8306  2587 12591
   262 35091    13   383  2587   973   329   262  1035 13628  7679  7685
 28800   257 20831  9136    13  8013   287 36617 30788 13061   743 28889
  5696   286  2972 12370   290 12370    14  9509  8143  6608    13  6660
    11   262 12591  1429   416   262 35091  6070  2446   857  2148   257
  7951  1626   262 32305   286  1035  8306    13  4619   777]",0
5,"[  301   602    11   543  1873   257  4996   286  5361  3341   884   355
  5413  3964   393  4725 10426    13   770  2276  4009   286  3644  1080
  4133   290  3788 11244   318   880  7247   287   262  1242    13   198
 17278   278   284 19697    13   513    11 11898    12  3106  2347  6143
  4410   884   355  1327 11898 10182    11 49415 32505   290  6458    12
 33676    50   389  1912 10170   319   257 24012  6143   458  1436   357
  1270   737   770   458  1436   743   307   925   286 12846   616 21681
    11   884   355 49415 32505    11   393   517 20831   458 34387   925
   286 15955    11  5405   393  7309    11   884   355  1327 11898 10182
   290  6458    12 33676    50    13  1114 14091  2056    11   530   393
  1111  5389   286   262   458  1436   389 30267   351   257 14091  7679
  6007   286  8296 14091 37783   422   257  1100    14 13564  1182    13
  1114 18480  2056    11  1366  8296   318   925  1262  2458   287  4079
  3458   286   257  4097   286  1657    11   543   318   788  1100   416
   257 12855    12  3106  1182    13 12257   540   290   797    12  8933
   540  6458    12 33676 10182 12082   262  8514   286 14091 32505   290
 18480 32505    13   554  2276    11   996    11   262  4009   286  1366
   319   262 11898   318  2092    13   383 11898 16649   389  9086   656
  3294  5280  1173 13917    11   393  8339   357  3132   737  2773 11898
 10182    11   884   355  1327 11898 10182    11  3473   286  3294   458
 34387    11   287   543  1339 11188  8339   319  1123   458]","[  301   602    11   543  1873   257  4996   286  5361  3341   884   355
  5413  3964   393  4725 10426    13   770  2276  4009   286  3644  1080
  4133   290  3788 11244   318   880  7247   287   262  1242    13   198
 17278   278   284 19697    13   513    11 11898    12  3106  2347  6143
  4410   884   355  1327 11898 10182    11 49415 32505   290  6458    12
 33676    50   389  1912 10170   319   257 24012  6143   458  1436   357
  1270   737   770   458  1436   743   307   925   286 12846   616 21681
    11   884   355 49415 32505    11   393   517 20831   458 34387   925
   286 15955    11  5405   393  7309    11   884   355  1327 11898 10182
   290  6458    12 33676    50    13  1114 14091  2056    11   530   393
  1111  5389   286   262   458  1436   389 30267   351   257 14091  7679
  6007   286  8296 14091 37783   422   257  1100    14 13564  1182    13
  1114 18480  2056    11  1366  8296   318   925  1262  2458   287  4079
  3458   286   257  4097   286  1657    11   543   318   788  1100   416
   257 12855    12  3106  1182    13 12257   540   290   797    12  8933
   540  6458    12 33676 10182 12082   262  8514   286 14091 32505   290
 18480 32505    13   554  2276    11   996    11  6458    12    40  9743
   290 37621    12  5957  8339   326   466   407   423 17332   287   543
 18480  1321   743   307  8574    13   198 27871   605  6143   286  1029
    12    35    13  7266    13    69 14091   393 19972    78    12  8738
   605  2695   287  1402  1989 47294   689   468   257  1588]",0
6,"[  220   220   220   220 34529   283  6030    26   198   220   220   220
   220   220   220   220   220   220   220   220   220   220   220 25683
   891  2170 12453  7231 37031  3712 38469  6030   220   220   220   220
 20650  6030    26   198   220   220   220   220   220   220   220   220
   220   220   220   220   220   220 25683   891  2170 12453  7231 37031
  3712    51 22854  6030   220   220   220   220   309 22854  6030    26
   628   220   220   220   220   220   220   220   220   220  6861    25
   198   220   220   220   220   220   220   220   220   220   220   220
   220   220   220 25683   891  2170 12453  7231 37031  3712 26961  6030
   220   220  7231 26961  6030    26   198   220   220   220   220   220
   220   220   220   220   220   220   220   220   220 25683   891  2170
 12453  7231 37031  3712 26961  6030   220   220  7231 24819  6030    26
   198   220   220   220   220   220   220   220 18083   628   220   220
   220   220  1398 12280 14520   282 37031  6030 12360   198   220   220
   220   220   220   220   220  1391   198   220   220   220   220   220
   220   220   220   220  1171    25   198   220   220   220   220   220
   220   220   220   220   220   220   220   220 25683   891 41420   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220   220   220   220   220   220   220
   220   220   220   220   220   220 22819  4559 11964    26   198   220
   220   220   220   220   220   220   220   220   220   220]","[  220   220   220   220 34529   283  6030    26   198   220   220   220
   220   220   220   220   220   220   220   220   220   220   220 25683
   891  2170 12453  7231 37031  3712 38469  6030   220   220   220   220
 20650  6030    26   198   220   220   220   220   220   220   220   220
   220   220   220   220   220   220 25683   891  2170 12453  7231 37031
  3712    51 22854  6030   220   220   220   220   309 22854  6030    26
   628   220   220   220   220   220   220   220   220   220  6861    25
   198   220   220   220   220   220   220   220   220   220   220   220
   220   220   220 25683   891  2170 12453  7231 37031  3712 26961  6030
   220   220  7231 26961  6030    26   198   220   220   220   220   220
   220   220   220   220   220   220   220   220   220 25683   891  2170
 12453  7231 37031  3712 26961  6030   220   220  7231 24819  6030    26
   198   220   220   220   220   220   220   220 18083   628   220   220
   220   220  1398 12280 14520   282 37031  6030 12360   198   220   220
   220   220   220   220   220  1391   198   220   220   220   220   220
   220   220   220   220  1171    25   198   220   220   220   220   220
   220   220   220   220   220   220   220   220   220 25683   891 47529
 12360  6030   220  5994 12360  6030    26   198   220   220   220   220
   220   220   220   220   220   220   220   220   220   220 25683   891
  7231 37031  3712 34220 14520   282 37031 47529 12360 36307  6030    26
   198   220   220   220   220   220   220   220   220   220]",0
7,"[14443    11   788   262  1988   706   262  2604   283   342  9383  7587
   318   513    13    15 30221   329   262  3223  7838   290   604    13
    22 30221   329   262 12548  2128    13 28386    11  3584   262 14735
   286   262 12548  2128   878   262  2604   283   342  9383  7587   318
   352    13    20  1661   326   286   262  1277  2128    11   262 14735
   286   262 12548  2128   706   262  2604   283   342  9383  7587   318
   352    13  3553  1661    11   290   262  4588   286   262 12548  2128
   318   407  5322  5470  1146    13   198  1026   318   284   307  4367
   994   326   262   564   250  5420 12609  2128   447   251  3407  1111
   286   262  8282  1277  2128   290 12548  2128  2406 44597 36527    13
 19672    11   262  1176   286   262 12548  2128  2346   857   407  1716
  2440   621   262  1176   286   262  1277  2128    13   554   257  2041
  3074   810   257 22644 21822   318   973    11   611   340   318  9672
   326   262  4571   287   543   262 21822 27508   257  2440  1277  3458
 47387   351   393   318  2092   284   262 15619  4571   286   262 12548
  2128   981   262  4571   287   543   262 21822 27508   257  2793  1277
  3458 47387   351   393   318  2092   284   262 15619  4571   286   262
  1277  2128    11   788   262  1176   286   262 12548  2128  2346   743
  5457   307  2440   621   262  1176   286   262  1277  2128    13   198
    32  8173   286 41895    11   287   884   257  3074   326   881  7838
   318  1944   393   257 36325   286  6737  4237  7716 10425]","[14443    11   788   262  1988   706   262  2604   283   342  9383  7587
   318   513    13    15 30221   329   262  3223  7838   290   604    13
    22 30221   329   262 12548  2128    13 28386    11  3584   262 14735
   286   262 12548  2128   878   262  2604   283   342  9383  7587   318
   352    13    20  1661   326   286   262  1277  2128    11   262 14735
   286   262 12548  2128   706   262  2604   283   342  9383  7587   318
   352    13  3553  1661    11   290   262  4588   286   262 12548  2128
   318   407  5322  5470  1146    13   198  1026   318   284   307  4367
   994   326   262   564   250  5420 12609  2128   447   251  3407  1111
   286   262  8282  1277  2128   290 12548  2128  2406 44597 36527    13
 19672    11   262  1176   286   262 12548  2128  2346   857   407  1716
  2440   621   262  1176   286   262  1277  2128    13   554   257  2041
  3074   810   257 22644 21822   318   973    11   611   340   318  9672
   326   262  4571   287   543   262 21822 27508   257  2440  1277  3458
 47387   351   393   318  2092   284   262 15619  4571   286   262 12548
  2128   981   262  4571   287   543   262 21822 27508   257  2793  1277
  3458 47387   351   393   318  2092   284   262 15619  4571   286   262
  1277  2128    11   262  1176  8064   286  1123   286   428 12548  2128
   287   543  1111 21024 11678 37319  1682  4329  2440  1022   428  2292
   290   262  2292   657 30221   422   262  1277  2128   621   612  1682
   318    13  1081   530  4610   286  1642  1176 22423  1342]",0
8,"[  262  3504   286   262  1110   284  4483   290   284  1660 17025   379
   257   880   546   807  4608   319   262   835    13   317  1588 12040
   286   300 14124   319   262  2975    13  5425   276   329   262  1755
   319   262  1280  7201 28191  1719  1043   257  1017   619   286  1660
   319   262  1364  1021  1735   286   262  2975    13  6640  4608   422
 28537    13   198   198 25381  2579  2932    13  8299   276  6071   546
   767   257    13    76    13   520  1698   284  1660 17025   290   284
   288   500   379 41196 13509   543  5425 12412 12606 14820   379  5326
  5866   706  3223    13  5425   276   612   351  6088   286  4898  1222
  1660   475  2138 31655  3745    13 40065   845 44039  3690   262  3329
    13  6675  6940   282  3028  1775  1141   262  6672    13  1119   547
  8234  8613 19189   416 14266    13  4243   263  1222 22287   329  1811
  4608    13  1119  2497   257  1588 27638   287   262  5253    13  2806
    13   685 17121    60 30646   685 23303  9618    60   357   272  1468
   582     8   373  6825   319   262 10325   286   262  5425   428  6180
    13 12168  1816   503   287  2989   351   257 41207   475  1231  1943
    13 21409  4608   422 28537    13   198   198 20610  2808  2932    13
   317 12465  6388 21172  1903   428  3329   290 15436   329  1811  2250
    13   317  1588  1271   286 29663  2067   706 12607   287  2989   286
  2806    13 30646    13   383  2626 15900   373  1043  1542  5695   422
   262  2975   706   546   362  2250     6  2989 13770   288]","[  262  3504   286   262  1110   284  4483   290   284  1660 17025   379
   257   880   546   807  4608   319   262   835    13   317  1588 12040
   286   300 14124   319   262  2975    13  5425   276   329   262  1755
   319   262  1280  7201 28191  1719  1043   257  1017   619   286  1660
   319   262  1364  1021  1735   286   262  2975    13  6640  4608   422
 28537    13   198   198 25381  2579  2932    13  8299   276  6071   546
   767   257    13    76    13   520  1698   284  1660 17025   290   284
   288   500   379 41196 13509   543  5425 12412 12606 14820   379  5326
  5866   706  3223    13  5425   276   612   351  6088   286  4898  1222
  1660   475  2138 31655  3745    13 40065   845 44039  3690   262  3329
    13  6675  6940   282  3028  1775  1141   262  6672    13  1119   547
  8234  8613 19189   416 14266    13  4243   263  1222 22287   329  1811
  4608    13  1119  2497   257  1588 27638   287   262  5253    13  2806
    13   685 17121    60 30646   685 23303  9618    60   357   272  1468
   582     8   373  6825   319   262 10325   286   262  5425   428  6180
    13 12168  1816   503   287  2989   351   257 41207   475  1231  1943
    13 21409  4608   422 28537    13   198   198 20610  2808   400  1222
  3909  1542  2932    13 12556   319   477  1115  1528   314  1413   276
    13  8299   276  6071   287   262  6180   422 14905 13509   319   543
   356  4251   845 19064   416  3329    13 22025  1496   379   509  4127
  1376   379  1105    25  2231    13  5425   276   262  1306]",0
9,"[30950   139   227   138   255 32830 49535     6 46651   138   107  7377
   123 45495   244 26180    11 28053   121    99 46651 17394 39377 17394
   138   107 46582 49535 33643 30950    11 18074   225   139   227 43000
 26517   139   228 17394 26180 32830 30950   157   123   244 35558    26
 46651   138   107  7377   119   139   234 42063 26517   139   227 35558
 18074   222 39377   138   105 32830 32830 30950 29945 35558    26 46651
   138   107 18074   225 17394   139   227 32830 45495   116 26180  7377
   123 45495   238 43000 28053   120   238 39377 39377 30950 26638 26517
 33643   138   107   138   114 30950 29945 35558 28053   120   238 46582
 45495   114 46651 26517   139   235 32830 26517 29945 35558    26 28053
   120   222 39377 39377   157   122   121  7377   123 45495   238   138
   112   157   122   121 26367   157   120   108 38392   139   229   139
   235 26180 30950 29945 18074   228   138   116   139   234 26180 26517
   139   227  7377   112   138   107 43000   138   115 26180  7377   113
   157   120   108 38392   138   105 42063 49535 26180    11  7377   123
 45495   238 43000 28053   120   222   138   112 29945 43000   138   106
 34703 17394 32830 26517 35558  7377   123 45495   238   138   112 30950
 26180   139   234 35558    11  7377   118 17394 45495   114  7377   121
   139   234 34703 26517   139   227 35558 18919 30950 32830 17394 46582
 26517 29945   157   123   114 26180    11 46651   157   123   114 26180
  7377   112   157   122   121 28053   120   222   139   228]","[30950   139   227   138   255 32830 49535     6 46651   138   107  7377
   123 45495   244 26180    11 28053   121    99 46651 17394 39377 17394
   138   107 46582 49535 33643 30950    11 18074   225   139   227 43000
 26517   139   228 17394 26180 32830 30950   157   123   244 35558    26
 46651   138   107  7377   119   139   234 42063 26517   139   227 35558
 18074   222 39377   138   105 32830 32830 30950 29945 35558    26 46651
   138   107 18074   225 17394   139   227 32830 45495   116 26180  7377
   123 45495   238 43000 28053   120   238 39377 39377 30950 26638 26517
 33643   138   107   138   114 30950 29945 35558 28053   120   238 46582
 45495   114 46651 26517   139   235 32830 26517 29945 35558    26 28053
   120   222 39377 39377   157   122   121  7377   123 45495   238   138
   112   157   122   121 26367   157   120   108 38392   139   229   139
   235 26180 30950 29945 18074   228   138   116   139   234 26180 26517
   139   227  7377   112   138   107 43000   138   115 26180  7377   113
   157   120   108 38392   138   105 42063 49535 26180    11  7377   123
 45495   238 43000 28053   120   222   138   112 29945 43000   138   106
 34703 17394 32830 26517 35558  7377   123 45495   238   138   112 45495
   110 18074   222 17394 33643 45495   108 18919   139   234   138   112
 26517   139   227  7377   113   157   120   114   139   234 18919 45495
   112 18074   222   138   105   138   116 26517 35558    26 28053   120
   226 26180 18074   228 17394 26180 26638   157   123   114]",0
